Nastia,1309555643, /hi Nastia,1309555643, /hi
 Nastia,1309555643, /sum 5 8
 Nastia,1309555643, /hi
 Nastia,1309555643, /hi
 Nastia,1309555643, /help
 Nastia,1309555643, /help
 Nastia,1309555643, /hi
 Nastia,1309555643, /help
 Nastia,1309555643, /time
 Nastia,1309555643, /hi
 Nastia,1309555643, /hi
 Nastia,1309555643, /help
 Nastia,1309555643, /time
 Nastia,1309555643, /culk 8 - 5
 Nastia,1309555643, /culk 8 - 5
 Nastia,1309555643, /culk 8 - 5
 Nastia,1309555643, /culk 5 6 + 4 1
 Nastia,1309555643, /help
 Nastia,1309555643, /culkKom 4 5 + 4 1
 Nastia,1309555643, /culkR 4 - 2
 Nastia,1309555643, /culkKom 4 5 - 3 2
 Nastia,1309555643, /calcR 4 / 2
 Nastia,1309555643, /calcKom 3 4 * 5 1
 